Date,Branch,Platform,Review_Text
2026-03-25 17:48:58.467133,General,YouTube Comment,Dono Indians ko bewakoof bana rahe hain. 😂 Dono ka pizza bakwas hai. Go to a nice italian restaurant in your vicinity to get the real taste of pizza.
2026-03-25 17:48:58.467133,General,YouTube Comment,Most expensive pizza ❌ Most expensive veg pizza😂😂
2026-03-25 17:48:58.467133,General,YouTube Comment,Both are bad
2026-03-25 17:48:58.467133,General,YouTube Comment,Pizza hut is giving in less prize but dominos is very prize but dominos is very delicious 😋
2026-03-25 17:48:58.631314,General,YouTube Comment,"Maine bhi pichli bar meri dost ki saath dominoes 6 in 1 order kiya tha thoda expensive tha, shayat 400/- ya 500/- rs ki kareeb tha. Par taste mazedaar tha"
2026-03-25 17:48:58.631314,Delhi,YouTube Comment,"Domino’s committed fraud.
On 19th January, I placed an order worth ₹6,000. I entered the delivery address as Patiala, but the system automatically selected the store location as Okhla, Delhi.
When I realized this mistake, I tried to contact the store. I got the store’s number through chat support, but the number was switched off. Despite this, they prepared the order without confirming anything with me, even though it was a high-value order.
Later, they called me, but by that time I had already requested a refund.
They never called to confirm the address before preparing the order, which they should have done for such a big order.
When I asked to cancel, they did not cancel the order, kept the pizzas with themselves, and did not issue any refund.
This is completely unprofessional and unfair. I want my full refund."
2026-03-25 17:48:59.039506,General,YouTube Comment,Kya baat kar rahi hai mera favourite pizza hai ! I order seven of them last night yummmm
2026-03-25 17:48:59.039506,General,YouTube Comment,Thoda sa extra cheese panner capsicum Tomato onion bhi hota to achha rhta na bhai or 1 chocolava or 1 coke with garlic bread free hota to or accha hota yaar😢😢😢😢
2026-03-25 17:48:59.039506,General,YouTube Comment,iske uppar half plate chicken chillye daal k khaa lo 70 -80 ₹ padega 😅..... ya anda burji uppar say daal k khaa lo... 😅
2026-03-25 17:48:59.039506,General,YouTube Comment,Mujhe sabse accha YHI lgta h
2026-03-25 17:48:59.039506,General,YouTube Comment,"Maida aur cheese ke naam pe palm oil wala mayo

Kitna kachra khane ke hum log aari ho gye hai"
2026-03-25 17:49:00.161652,General,YouTube Comment,But the dipe was actually really testy🤌
2026-03-25 17:49:00.161652,General,YouTube Comment,I eat this meal it was good❤
2026-03-25 17:49:00.161652,General,YouTube Comment,Dominos lunch meal
2026-03-25 17:49:00.161652,General,YouTube Comment,Wow nice food❤
2026-03-25 17:49:00.387378,General,YouTube Comment,"DOMINOS COUPON CODE


 🧀 MELT1919 – 33% off up to ₹300 (MOV ₹499)
 🍕 SNAC1919– 33% off up to ₹200 (MOV ₹399)
 🥖 BITE1919 – ₹100 off on ₹249
✨ YUM1919– ₹120 off on ₹299

All with free delivery – duh! 🚀"
2026-03-25 17:49:00.571865,General,YouTube Comment,Wish ma dominos ki barbadi mangi ha
2026-03-25 17:49:00.571865,General,YouTube Comment,Bro is back to back roasting dominos💀
2026-03-25 17:49:00.782927,General,YouTube Comment,Please do not use clickbait titles with your kid in the thumbnail. Boht buri nazar lag jayegi bache ko. Sab usse hi gaali de rahe hai
2026-03-25 17:49:00.782927,General,YouTube Comment,Food waste mat kiya kar bhootiye
2026-03-25 17:49:00.782927,General,YouTube Comment,Domino's Pizza ho ya kisi bhi brand ka pizza .. use 2 ghante se jyada late Nhii khana chaiye bch ja rha h to fenk do it's not good for anyone health
2026-03-25 17:49:00.782927,General,YouTube Comment,"Toh matlab 2 log, yani tu aur teri biwi....yaa..tu aur tera bachaa. Soch ke mangaya crow"
